"","gene_name","neighbor1","neighbor2","neighbor_diff","abs_neighbor_diff"
"1627","SORBI_3003G149800",1,0,1,1
"1628","SORBI_3003G150800",0,0,0,0
"1629","SORBI_3003G151100",1,0,1,1
"1630","SORBI_3003G151600",0,0,0,0
"1631","SORBI_3003G152300",0,0,0,0
"1632","SORBI_3003G153200",1,0,1,1
"1633","SORBI_3003G153300",0,2,-2,2
"1634","SORBI_3003G154700",0,2,-2,2
"1635","SORBI_3003G155700",0,1,-1,1
"1636","SORBI_3003G156300",0,0,0,0
"1637","SORBI_3003G156500",0,1,-1,1
"1638","SORBI_3003G157300",0,1,-1,1
"1639","SORBI_3003G157600",0,2,-2,2
"1640","SORBI_3003G157900",0,1,-1,1
"1641","SORBI_3003G158900",0,2,-2,2
"1642","SORBI_3003G161700",0,2,-2,2
"1643","SORBI_3003G162600",0,2,-2,2
"1644","SORBI_3003G167500",0,0,0,0
"1645","SORBI_3003G167632",0,1,-1,1
"1646","SORBI_3003G170900",0,1,-1,1
"1647","SORBI_3003G174900",0,0,0,0
"1648","SORBI_3003G178500",0,0,0,0
"1649","SORBI_3003G179500",0,1,-1,1
"1650","SORBI_3003G180100",0,2,-2,2
"1651","SORBI_3003G181600",0,2,-2,2
"1652","SORBI_3003G182100",0,0,0,0
"1653","SORBI_3003G183700",0,6,-6,6
"1654","SORBI_3003G185200",0,0,0,0
"1655","SORBI_3003G185600",0,0,0,0
"1656","SORBI_3003G186500",1,0,1,1
"1657","SORBI_3003G186800",0,1,-1,1
"1658","SORBI_3003G187100",0,0,0,0
"1659","SORBI_3003G190000",0,0,0,0
"1660","SORBI_3003G190100",1,0,1,1
"1661","SORBI_3003G191000",447,135,312,312
"1662","SORBI_3003G193700",0,1,-1,1
"1663","SORBI_3003G195300",0,0,0,0
"1664","SORBI_3003G196200",0,0,0,0
"1665","SORBI_3003G197200",0,0,0,0
"1666","SORBI_3003G197400",0,3,-3,3
"1667","SORBI_3003G198150",0,0,0,0
"1668","SORBI_3003G198200",0,2,-2,2
"1669","SORBI_3003G198300",0,2,-2,2
"1670","SORBI_3003G198400",1,0,1,1
"1671","SORBI_3003G198600",0,0,0,0
"1672","SORBI_3003G199001",0,1,-1,1
"1673","SORBI_3003G199200",0,1,-1,1
"1674","SORBI_3003G199300",0,2,-2,2
"1675","SORBI_3003G200501",0,1,-1,1
"1676","SORBI_3003G201000",0,2,-2,2
"1677","SORBI_3003G202300",0,2,-2,2
"1678","SORBI_3003G205400",0,0,0,0
