TF_name,TF_family,TAM111,TAM112,diff,abs_diff
TraesCS4A02G053000,ABI3/VP1,1,0,1,1
TraesCS4A02G214700,ABI3/VP1,1,0,1,1
TraesCS4A02G241500,ABI3/VP1,1,1,0,0
TraesCS4A02G363200,ABI3/VP1,1,2,-1,1
TraesCS4B02G101400,ABI3/VP1,1,0,1,1
TraesCS4B02G251500,ABI3/VP1,1,0,1,1
TraesCS4B02G301400,ABI3/VP1,1,3,-2,2
TraesCS4D02G071900,ABI3/VP1,1,1,0,0
TraesCS4D02G098100,ABI3/VP1,1,0,1,1
TraesCS4D02G251500,ABI3/VP1,1,0,1,1
TraesCS4D02G299700,ABI3/VP1,1,1,0,0
TraesCS5A02G090100,ABI3/VP1,1,1,0,0
TraesCS5A02G127100,ABI3/VP1,1,1,0,0
TraesCS5A02G363800,ABI3/VP1,1,1,0,0
TraesCS5A02G387400,ABI3/VP1,1,18,-17,17
TraesCS5A02G438600,ABI3/VP1,1,2,-1,1
TraesCS5A02G482700,ABI3/VP1,1,1,0,0
TraesCS5B02G095900,ABI3/VP1,1,0,1,1
TraesCS5B02G365800,ABI3/VP1,1,1,0,0
TraesCS5B02G510500,ABI3/VP1,1,0,1,1
TraesCS5D02G372900,ABI3/VP1,1,0,1,1
TraesCS5D02G496300,ABI3/VP1,1,0,1,1
TraesCS5D02G514900,ABI3/VP1,1,2,-1,1
TraesCS5D02G515100,ABI3/VP1,1,0,1,1
TraesCS5D02G515200,ABI3/VP1,1,1,0,0
TraesCS6A02G213000,ABI3/VP1,1,0,1,1
TraesCS6B02G440000,ABI3/VP1,1,0,1,1
TraesCS7A02G329600,ABI3/VP1,1,2,-1,1
TraesCS7A02G417300,ABI3/VP1,1,1,0,0
TraesCS7D02G326300,ABI3/VP1,1,1,0,0
TraesCS7D02G388100,ABI3/VP1,1,3,-2,2
TraesCSU02G075300,ABI3/VP1,1,1,0,0
TraesCS1A02G221900,AP2/EREBP,1,1,0,0
TraesCS1A02G242800,AP2/EREBP,1,1,0,0
TraesCS1A02G314300,AP2/EREBP,1,0,1,1
TraesCS1B02G233300,AP2/EREBP,1,1,0,0
TraesCS1B02G235100,AP2/EREBP,1,1,0,0
TraesCS1B02G307000,AP2/EREBP,1,1,0,0
TraesCS1B02G326600,AP2/EREBP,1,0,1,1
TraesCS1D02G221500,AP2/EREBP,1,1,0,0
TraesCS1D02G223600,AP2/EREBP,1,1,0,0
TraesCS1D02G230900,AP2/EREBP,1,1,0,0
TraesCS1D02G242800,AP2/EREBP,1,5,-4,4
TraesCS1D02G314800,AP2/EREBP,1,0,1,1
TraesCS1D02G418900,AP2/EREBP,1,0,1,1
TraesCS2A02G185600,AP2/EREBP,1,1,0,0
TraesCS2A02G288000,AP2/EREBP,1,1,0,0
TraesCS2A02G417300,AP2/EREBP,1,0,1,1
TraesCS2A02G427700,AP2/EREBP,1,2,-1,1
TraesCS2A02G503100,AP2/EREBP,1,0,1,1
TraesCS2A02G514300,AP2/EREBP,1,1,0,0
TraesCS2A02G542700,AP2/EREBP,1,3,-2,2
TraesCS2B02G436300,AP2/EREBP,1,1,0,0
TraesCS2B02G448100,AP2/EREBP,1,3,-2,2
TraesCS2B02G531100,AP2/EREBP,1,2,-1,1
TraesCS2B02G534000,AP2/EREBP,1,1,0,0
TraesCS2D02G286300,AP2/EREBP,1,15,-14,14
TraesCS2D02G412200,AP2/EREBP,1,1,0,0
TraesCS2D02G414300,AP2/EREBP,1,29,-28,28
